,ID_Distrito,Precio,Descripcion
84,5,2250,"Piso En Alquiler En Prosperidad, Chamartín, Madrid, Madrid"
85,3,2300,"Piso En Alquiler En Calle Fernán Gonzalez, Ibiza, Retiro, Madrid, Madrid"
86,3,2300,"Piso En Alquiler En Calle Ibiza, Ibiza, Retiro, Madrid, Madrid"
87,3,2300,"Piso En Alquiler En Calle Fernán Gonzalez, Ibiza, Retiro, Madrid, Madrid"
88,3,2400,"Piso En Alquiler En Calle Fernan Gonzalez, Retiro, Madrid, Madrid"
89,3,2400,"Piso En Alquiler En Calle Fernán Gonzalez, Ibiza, Retiro, Madrid, Madrid"
90,3,2400,"Piso En Alquiler En Calle Fernán Gonzalez, Ibiza, Retiro, Madrid, Madrid"
91,3,2400,"Piso En Alquiler En Calle Fernán Gonzalez, Ibiza, Retiro, Madrid, Madrid"
92,3,2450,"Piso En Alquiler En Calle Jesús Aprendiz, Niño Jesús, Retiro, Madrid, Madrid"
93,6,2500,"Piso En Alquiler En Avenida Presidente Carmona, Tetuán, Madrid, Madrid"
94,4,2500,"Piso En Alquiler En Calle Povedilla, Goya, Salamanca, Madrid, Madrid"
95,9,2650,"Piso En Alquiler En Calle Francisco Lozano, Argüelles, Moncloa-Aravaca, Madrid, Madrid"
96,3,2700,"Piso En Alquiler En Paseo Reina Cristina, Jerónimos, Retiro, Madrid, Madrid"
97,4,2900,"Piso En Alquiler En Calle Diego De Leon, Lista, Salamanca, Madrid, Madrid"
98,9,3000,"Piso En Alquiler En Calle Tutor, Argüelles, Moncloa-Aravaca, Madrid, Madrid"
99,20,3570,"Chalet En Alquiler En Calle General Aranaz, San Blas-Canillejas, Madrid, Madrid"
100,7,4200,"Piso En Alquiler En Calle Almagro, Almagro, Chamberí, Madrid, Madrid"
101,7,4200,"Piso En Alquiler En Calle General Arrando, Almagro, Chamberí, Madrid, Madrid"
102,5,700,"Estudio En Alquiler En Calle Doctor Fléming, Nueva España, Chamartín, Madrid, Madrid"
103,9,750,"Piso En Alquiler En Calle Martín De Los Heros, Argüelles, Moncloa-Aravaca, Madrid, Madrid"
104,7,850,"Piso En Alquiler En Calle Ponzano, Almagro, Chamberí, Madrid, Madrid"
105,11,850,"Piso En Alquiler En Plaza Barbatain, Puerta Bonita, Carabanchel, Madrid, Madrid"
106,7,900,"Piso En Alquiler En Calle Angel Llorca, Vallehermoso, Chamberí, Madrid, Madrid"
107,7,900,"Estudio En Alquiler En Calle Cea Bermudez, Arapiles, Chamberí, Madrid, Madrid"
108,5,950,"Piso En Alquiler En Calle Puerto Rico, Hispanoamérica, Chamartín, Madrid, Madrid"
109,7,1000,"Piso En Alquiler En Calle Treviño, Ríos Rosas, Chamberí, Madrid, Madrid"
110,8,1000,"Piso En Alquiler En Plaza Carballo, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
111,1,1000,"Apartamento En Alquiler En Calle San Bernardo, Universidad, Centro, Madrid, Madrid"
112,1,1000,"Piso En Alquiler En Calle Madera, Universidad, Centro, Madrid, Madrid"
113,15,1000,"Piso En Alquiler En Calle San Secundino, Ventas, Ciudad Lineal, Madrid, Madrid"
114,7,1000,"Piso En Alquiler En Calle Virtudes, Almagro, Chamberí, Madrid, Madrid"
115,13,1000,"Piso En Alquiler En Calle Frida Kahlo, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
116,7,1050,"Piso En Alquiler En Calle Feijoo, Chamberí, Madrid, Madrid"
117,1,1100,"Piso En Alquiler En Calle Pez, Universidad, Centro, Madrid, Madrid"
118,7,1150,"Piso En Alquiler En Calle Ponzano, Ríos Rosas, Chamberí, Madrid, Madrid"
119,7,1200,"Piso En Alquiler En Calle Santa Engracia, Ríos Rosas, Chamberí, Madrid, Madrid"
120,1,1200,"Piso En Alquiler En Calle Palma, Universidad, Centro, Madrid, Madrid"
121,5,1200,"Piso En Alquiler En Avenida Alberto Alcocer, Nueva España, Chamartín, Madrid, Madrid"
122,5,1250,"Piso En Alquiler En Calle Santiago Bernabeu, Hispanoamérica, Chamartín, Madrid, Madrid"
123,1,1300,"Piso En Alquiler En Calle Atocha, Cortes, Centro, Madrid, Madrid"
124,4,1300,"Piso En Alquiler En Calle Diego De Leon, Lista, Salamanca, Madrid, Madrid"
125,7,1300,"Piso En Alquiler En Calle Max Aub, Vallehermoso, Chamberí, Madrid, Madrid"
126,7,1350,"Piso En Alquiler En Calle Lozoya, Chamberí, Madrid, Madrid"
127,16,1350,"Piso En Alquiler En Calle Santa Virgilia, Pinar Del Rey, Hortaleza, Madrid, Madrid"
128,8,1400,"Piso En Alquiler En Calle Villa De Marin, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
129,7,1400,"Piso En Alquiler En Avenida Del Valle, Vallehermoso, Chamberí, Madrid, Madrid"
130,7,1400,"Piso En Alquiler En Avenida Reina Victoria, Vallehermoso, Chamberí, Madrid, Madrid"
131,1,1450,"Piso En Alquiler En Calle San Dimas, Universidad, Centro, Madrid, Madrid"
132,7,1550,"Piso En Alquiler En Calle Cristobal Bordiu, Ríos Rosas, Chamberí, Madrid, Madrid"
133,5,1600,"Piso En Alquiler En Calle Victor De La Serna , Chamartín, Madrid, Madrid"
134,7,1650,"Piso En Alquiler En Avenida Pablo Iglesias, Vallehermoso, Chamberí, Madrid, Madrid"
135,7,1650,"Piso En Alquiler En Calle Donoso Cortes, Arapiles, Chamberí, Madrid, Madrid"
136,7,1700,"Piso En Alquiler En Calle Bravo Murillo, Ríos Rosas, Chamberí, Madrid, Madrid"
137,4,1800,"Piso En Alquiler En Plaza América Española, Fuente Del Berro, Salamanca, Madrid, Madrid"
138,4,1800,"Piso En Alquiler En Calle Bocangel, Fuente Del Berro, Salamanca, Madrid, Madrid"
139,7,1800,"Piso En Alquiler En Avenida Reina Victoria, Vallehermoso, Chamberí, Madrid, Madrid"
140,7,1900,"Piso En Alquiler En Calle Andres Mellado, Vallehermoso, Chamberí, Madrid, Madrid"
141,7,1900,"Piso En Alquiler En Calle Fernando El Catolico, Chamberí, Madrid, Madrid"
142,7,1950,"Piso En Alquiler En Calle Ramiro Ii, Vallehermoso, Chamberí, Madrid, Madrid"
143,2,1950,"Piso En Alquiler En Calle Mendez Alvaro, Delicias, Arganzuela, Madrid, Madrid"
144,7,1950,"Piso En Alquiler En Calle Eloy Gonzalo, Trafalgar, Chamberí, Madrid, Madrid"
145,7,1995,"Piso En Alquiler En Calle Garcia De Paredes, Almagro, Chamberí, Madrid, Madrid"
146,4,2350,"Piso En Alquiler En Calle Antonio Toledano, 4, Fuente Del Berro, Salamanca, Madrid, Madrid"
147,7,2400,"Piso En Alquiler En Calle Vargas, Ríos Rosas, Chamberí, Madrid, Madrid"
148,7,2500,"Piso En Alquiler En Calle Rafael Calvo, Almagro, Chamberí, Madrid, Madrid"
149,4,550,"Piso En Alquiler En Calle Hermosilla, 101, Goya, Salamanca, Madrid, Madrid"
150,13,600,"Piso En Alquiler En Calle Marismas, Nueva Numancia, Puente De Vallecas, Madrid, Madrid"
151,5,600,"Piso En Alquiler En Calle Nicaragua, Hispanoamérica, Chamartín, Madrid, Madrid"
152,5,600,"Estudio En Alquiler En Calle Fuente Del Saz , Hispanoamérica, Chamartín, Madrid, Madrid"
153,1,650,"Apartamento En Alquiler En Calle Libertad, Justicia, Centro, Madrid, Madrid"
154,13,650,"Apartamento En Alquiler En Calle Virgen, Palomeras Bajas, Puente De Vallecas, Madrid, Madrid"
155,2,650,"Estudio En Venta En Paseo De Las Delicias, Delicias, Arganzuela, Madrid, Madrid"
156,5,650,"Estudio En Alquiler En Calle Bolivia, Nueva España, Chamartín, Madrid, Madrid"
157,9,690,"Piso En Alquiler En Calle Buen Suceso, Argüelles, Moncloa-Aravaca, Madrid, Madrid"
158,1,700,"Apartamento En Alquiler En Calle Tesoro, Universidad, Centro, Madrid, Madrid"
159,2,700,"Piso En Alquiler En Calle Arquitectura, Acacias, Arganzuela, Madrid, Madrid"
160,7,700,"Estudio En Alquiler En Calle Joaquin Maria Lopez, Gaztambide, Chamberí, Madrid, Madrid"
161,13,700,"Piso En Alquiler En Casco Histórico De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
162,13,700,"Piso En Alquiler En Calle Embalse De Navacerrada, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
163,13,700,"Piso En Alquiler En Calle Rio Salado, Portazgo, Puente De Vallecas, Madrid, Madrid"
164,13,700,"Piso En Alquiler En Avenida Pablo Neruda, Portazgo, Puente De Vallecas, Madrid, Madrid"
165,13,700,"Piso En Alquiler En Calle Pico Mampodre, Casco Histórico De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
166,8,700,"Piso En Alquiler En Calle Isla De Arosa, Peñagrande, Fuencarral-El Pardo, Madrid, Madrid"
167,10,700,"Estudio En Alquiler En Calle Industria, 42, Puerta Del Ángel, Latina, Madrid, Madrid"
168,9,720,"Piso En Alquiler En Calle Martín De Los Heros, Argüelles, Moncloa-Aravaca, Madrid, Madrid"
169,13,725,"Piso En Alquiler En Calle Adolfo Bioy Casares, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
170,7,750,"Estudio En Alquiler En Calle Santa Engracia, Ríos Rosas, Chamberí, Madrid, Madrid"
171,1,750,"Apartamento En Alquiler En Calle San Lorenzo, Justicia, Centro, Madrid, Madrid"
172,2,750,"Piso En Alquiler En Calle Martin De Vargas, Acacias, Arganzuela, Madrid, Madrid"
173,5,750,"Piso En Alquiler En Calle Costa Rica, Nueva España, Chamartín, Madrid, Madrid"
174,11,750,"Piso En Alquiler En Calle Alejandro Sanchez, Opañel, Carabanchel, Madrid, Madrid"
175,8,750,"Piso En Alquiler En Valverde, Fuencarral-El Pardo, Madrid, Madrid"
176,9,750,"Piso En Alquiler En Calle Rey Francisco, Argüelles, Moncloa-Aravaca, Madrid, Madrid"
177,13,760,"Piso En Alquiler En Calle Puerto Del Milagro, Palomeras Bajas, Puente De Vallecas, Madrid, Madrid"
178,2,780,"Piso En Alquiler En Calle Caceres, Delicias, Arganzuela, Madrid, Madrid"
179,13,780,"Apartamento En Alquiler En Carretera Villaverde A Vallecas, Casco Histórico De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
180,8,790,"Piso En Alquiler En Plaza Carballo, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
181,7,790,"Estudio En Alquiler En Calle Alonso Cano, Almagro, Chamberí, Madrid, Madrid"
182,13,790,"Dúplex En Alquiler En Avenida Gran Via Del Sureste, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
183,2,800,"Estudio En Alquiler En Calle Mazarredo, Imperial, Arganzuela, Madrid, Madrid"
184,16,800,"Estudio En Alquiler En Avenida Francisco Pi Y Margall, Sanchinarro-Valdefuentes, Hortaleza, Madrid, Madrid"
185,8,800,"Piso En Alquiler En Avenida Betanzos, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
186,8,800,"Piso En Alquiler En Pilar, Fuencarral-El Pardo, Madrid, Madrid"
187,1,800,"Piso En Alquiler En Calle Minas, Universidad, Centro, Madrid, Madrid"
188,1,800,"Apartamento En Alquiler En Calle San Marcos, Justicia, Centro, Madrid, Madrid"
189,2,800,"Piso En Alquiler En Paseo De Las Acacias, Acacias, Arganzuela, Madrid, Madrid"
190,4,800,"Piso En Alquiler En Calle General Oraá, Castellana, Salamanca, Madrid, Madrid"
191,7,800,"Estudio En Alquiler En Calle Zurbano, Almagro, Chamberí, Madrid, Madrid"
192,1,800,"Piso En Alquiler En Madrid, Madrid"
193,13,800,"Piso En Alquiler En Calle Barranco Del Novillo, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
194,11,800,"Piso En Alquiler En Buenavista, Carabanchel, Madrid, Madrid"
195,10,800,"Piso En Alquiler En Aluche, Latina, Madrid, Madrid"
196,8,800,"Piso En Alquiler En Calle Sarria, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
197,13,800,"Piso En Alquiler En Calle Diligencia, Palomeras Bajas, Puente De Vallecas, Madrid, Madrid"
198,9,800,"Piso En Alquiler En Calle Juan Alvarez Mendizabal, Moncloa-Aravaca, Madrid, Madrid"
199,16,800,"Piso En Alquiler En Calle Mar Caspio, Pinar Del Rey, Hortaleza, Madrid, Madrid"
200,16,820,"Ático En Alquiler En Calle Isabel Clara Eugenia, Sanchinarro-Valdefuentes, Hortaleza, Madrid, Madrid"
201,7,830,"Estudio En Alquiler En Paseo General Martinez Campos, Almagro, Chamberí, Madrid, Madrid"
202,13,850,"Piso En Alquiler En Calle Picos De Europa, Nueva Numancia, Puente De Vallecas, Madrid, Madrid"
203,7,850,"Piso En Alquiler En Calle Cristobal Bordiu, Ríos Rosas, Chamberí, Madrid, Madrid"
204,10,850,"Piso En Alquiler En Paseo De Olivos, Puerta Del Ángel, Latina, Madrid, Madrid"
205,8,850,"Piso En Alquiler En Calle Ginzo De Limia, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
206,8,850,"Piso En Alquiler En Calle Melchor Fernández Almagro, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
207,1,850,"Piso En Alquiler En Calle Abades, Embajadores, Centro, Madrid, Madrid"
208,1,850,"Estudio En Alquiler En Calle Abades, Embajadores, Centro, Madrid, Madrid"
209,1,850,"Apartamento En Alquiler En Calle Pelayo, Justicia, Centro, Madrid, Madrid"
210,1,850,"Apartamento En Alquiler En Calle San Lorenzo, Justicia, Centro, Madrid, Madrid"
211,6,850,"Piso En Alquiler En Calle Carlos Latorre, 4, Cuatro Caminos, Tetuán, Madrid, Madrid"
212,7,850,"Piso En Alquiler En Calle Guzman El Bueno, Vallehermoso, Chamberí, Madrid, Madrid"
213,13,850,"Piso En Alquiler En Casco Histórico De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
214,13,850,"Piso En Alquiler En Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
215,13,850,"Piso En Alquiler En Avenida Ensanche De Vallecas, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
216,13,850,"Piso En Alquiler En Avenida Las Suertes, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
217,2,850,"Piso En Alquiler En Calle Caceres, Delicias, Arganzuela, Madrid, Madrid"
218,2,850,"Piso En Alquiler En Calle Caceres, Delicias, Arganzuela, Madrid, Madrid"
219,6,850,"Estudio En Alquiler En Calle Juan De Olias, Cuatro Caminos, Tetuán, Madrid, Madrid"
220,6,850,"Piso En Alquiler En Calle Juan De Olias, Cuatro Caminos, Tetuán, Madrid, Madrid"
221,11,850,"Piso En Alquiler En Calle Piqueñas, Buenavista, Carabanchel, Madrid, Madrid"
222,10,850,"Piso En Alquiler En Calle Valmojado, Aluche, Latina, Madrid, Madrid"
223,20,850,"Piso En Alquiler En Calle San Narciso, Canillejas, San Blas-Canillejas, Madrid, Madrid"
224,10,850,"Piso En Alquiler En Calle Soledad Cazorla, Las Águilas, Latina, Madrid, Madrid"
225,20,850,"Piso En Alquiler En Calle Longares, San Blas-Canillejas, Madrid, Madrid"
226,17,850,"Piso En Alquiler En Calle Jose Maria Lozano Sainz, Los Ángeles, Villaverde, Madrid, Madrid"
227,17,850,"Piso En Alquiler En Calle Jose Maria Lozano Sainz, Los Ángeles, Villaverde, Madrid, Madrid"
228,11,850,"Piso En Alquiler En Calle Antonio Moreno, Opañel, Carabanchel, Madrid, Madrid"
229,11,850,"Piso En Alquiler En Buenavista, Carabanchel, Madrid, Madrid"
230,1,850,"Piso En Alquiler En Madrid, Madrid"
231,20,850,"Piso En Alquiler En Arcos, San Blas-Canillejas, Madrid, Madrid"
232,13,850,"Piso En Alquiler En Calle Virgen De Las Viñas, Santa Eugenia, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
233,13,850,"Piso En Alquiler En Calle Sierra Vieja, Casco Histórico De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
234,8,850,"Piso En Alquiler En Valverde, Fuencarral-El Pardo, Madrid, Madrid"
235,9,850,"Piso En Alquiler En Calle Juan Alvarez De Mendizabal, Argüelles, Moncloa-Aravaca, Madrid, Madrid"
236,7,850,"Estudio En Alquiler En Calle Cea Bermudez, Arapiles, Chamberí, Madrid, Madrid"
237,4,850,"Estudio En Alquiler En Calle Cartagena, Guindalera, Salamanca, Madrid, Madrid"
238,16,850,"Piso En Alquiler En Calle Mar De Oman, Pinar Del Rey, Hortaleza, Madrid, Madrid"
239,16,850,"Piso En Alquiler En Plaza Doctor Calvo Perez, Pinar Del Rey, Hortaleza, Madrid, Madrid"
240,8,870,"Piso En Alquiler En Valverde, Fuencarral-El Pardo, Madrid, Madrid"
241,4,875,"Apartamento En Alquiler En Calle Sancho Dávila, Fuente Del Berro, Salamanca, Madrid, Madrid"
242,7,880,"Estudio En Alquiler En Calle Gaztambide, Gaztambide, Chamberí, Madrid, Madrid"
243,7,890,"Piso En Alquiler En Calle Robledillo, Ríos Rosas, Chamberí, Madrid, Madrid"
244,1,890,"Piso En Alquiler En Calle Minas, Universidad, Centro, Madrid, Madrid"
245,9,890,"Estudio En Alquiler En Moncloa-Aravaca, Madrid, Madrid"
