Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2017;12.114
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2016;11.925
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2015;11.688
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2022;14.832
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2021;13.849
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2020;13.123
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2019;12.916
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2018;12.353
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2017;11.941
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2016;11.695
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2015;11.375
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2022;15.902
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2021;15.115
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2020;14.537
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2019;14.545
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2018;14.100
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2017;13.559
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2016;13.404
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2015;13.171
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2022;20.788
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2021;19.482
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2020;19.138
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2019;19.026
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2018;18.514
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2017;17.807
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2016;17.641
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2015;17.257
